ID,votos
10000000135,1570.54
10000000142,2345.96
10000000158,66952.9
10000000161,42712.47
10000000163,81015.28
10000000164,6390.26
10000000166,71054.88
10000000169,88525.91
10000000170,18759.39
10000000171,73350.19
10000000172,18883.96
10000000173,65382.74
10000000176,7489.31
10000000177,40622.91
10000000178,46369.63
10000000179,19299.37
10000000180,5933.762376237623
10000000327,1092.49
10000000347,3506.8
10000000348,3732.39
10000000349,5623.63
10000000358,4586.56
10000000363,2888.39
10000000365,890.17
10000000366,1276.48
10000000367,1252.01
10000000368,28389.6
10000000369,1915.95
10000000370,1257.2843137254902
10000000371,2002.7
10000000602,4538.78
10000000603,3833.91
10000000607,20208.78
10000000608,8593.75
10000000609,8015.54
10000000610,6702.33
10000000611,2296.9
10000000613,70490.11
10000000614,99132.51
10000000615,59622.86
10000000616,71955.99
10000000617,20540.74
10000000618,10115.85
10000000619,1627.1881188118812
10000000620,10926.5
10000000624,13966.56
10000000721,1570.54
10000000761,69478.87
20000000009,1183.2
20000000010,850.21
20000000019,4120.96
20000000023,970.82
20000000024,672.7927927927927
20000000043,67493.16
20000000044,66213.7
20000000045,5676.77
20000000046,18542.37
20000000047,2024.84
20000000050,1331.53
20000000052,2737.98
20000000054,14898.21
20000000059,1591.8
20000000060,11270.81
20000000082,3325.89
20000000083,1152.2
20000000085,1414.33
20000000086,1414.33
20000000119,964.2277227722773
20000000126,5501.03
20000000127,99910.85
20000000128,21864.28
20000000153,99137.66
20000000156,81810.53
20000000157,2035.99
20000000158,1268.3
20000000159,1461.9
20000000160,5645.18
20000000167,103805.62
20000000169,9090.67
20000000170,20788.73
20000000172,16351.97
20000000198,952.03
20000000265,1893.87
20000000266,72546.74
20000000267,10401.19
20000000269,94473.07
20000000270,1591.8
20000000271,2406.71
20000000272,1591.8
20000000273,30073.84
20000000274,74131.33
20000000277,15929.9
20000000278,24727.09
20000000280,8192.23
20000000281,22115.93
20000000282,28009.13
20000000283,10352.9
20000000284,19398.2
20000000286,2455.44
20000000287,97694.09
20000000289,23591.17
20000000364,6438.85
20000000367,2265.53
20000000369,55832.58
20000000373,9658.98
20000000380,103369.94
20000000381,1647.21
20000000382,99494.9
20000000385,6817.21
20000000391,4019.67
20000000393,1074.6239316239316
20000000444,3227.03
20000000446,1431.45
20000000449,1463.5940594059407
20000000468,941.5566037735849
20000000474,5548.439252336449
20000000482,2552.86
20000000484,941.5566037735849
20000000485,941.5566037735849
20000000503,35555.33
20000000541,6265.91
30000000004,1629.59
30000000005,1331.05
30000000022,12046.99
30000000029,35635.23
30000000033,2252.32
30000000084,55785.06
30000000085,8503.38
30000000086,3856.54
30000000087,31369.96
30000000089,2030.66
30000000090,3440.06
30000000091,2333.42
30000000092,4090.44
30000000108,3202.37
30000000116,34892.68
